Round	Player	Message
20	Briand	Finished Turn on 4/30/2026 10:02:31 PM PDT
20	Briand	Moved 8 spaces.
19	ssnumber8	Built 12 segments for $19.
19	ssnumber8	Finished Turn on 4/30/2026 9:51:35 PM PDT
19	ssnumber8	Moved 13 spaces.
19	ARStoo	Built 13 segments for $20.
19	ARStoo	Finished Turn on 4/30/2026 9:35:07 PM PDT
19	ARStoo	Moved 11 spaces.
19	ARStoo	Picked up Gems in Sbadeh.
19	ARStoo	Drew card 62.
19	ARStoo	Delivered Spells for $23 to Sbadeh.
19	ARStoo	Moved 5 spaces.
19	Chip	Built 12 segments for $18.
19	Chip	Finished Turn on 4/30/2026 9:03:25 PM PDT
19	Chip	Moved 16 spaces.
19	Briand	Finished Turn on 4/30/2026 8:30:03 PM PDT
19	Briand	Moved 8 spaces.
18	ssnumber8	Built 13 segments for $20.
18	ssnumber8	Finished Turn on 4/29/2026 10:58:14 PM PDT
18	ssnumber8	Moved 4 spaces.
18	ssnumber8	Picked up Wine in Glyween.
18	ssnumber8	Drew card 85.
18	ssnumber8	Delivered Spells for $43 to Glyween.
18	ssnumber8	Moved 5 spaces.
18	ARStoo	Built 13 segments for $20.
18	ARStoo	Finished Turn on 4/29/2026 10:24:43 PM PDT
18	ARStoo	Moved 8 spaces.
18	ARStoo	Picked up Spells in Ozu-Zarkh.
18	ARStoo	Moved 1 spaces.
18	ARStoo	Drew card 132.
18	ARStoo	Delivered Ale for $36 to Wikkedde.
18	Chip	Built 16 segments for $20.
18	Chip	Finished Turn on 4/29/2026 10:19:03 PM PDT
18	Chip	Moved 5 spaces.
18	Chip	Picked up Sheep in Jobabh.
18	Chip	Drew card 94.
18	Chip	Delivered Lumber for $22 to Jobabh.
18	Chip	Moved 11 spaces.
18	Briand	Finished Turn on 4/29/2026 9:53:58 PM PDT
18	Briand	Boarded ship "Serpent".
18	Briand	Moved 1 spaces.
18	Briand	Picked up Ivory in Kodankye.
18	Briand	Dropped off load Cattle.
18	Briand	Picked up Ivory in Kodankye.
18	Briand	Picked up Ivory in Kodankye.
18	Briand	Dropped off load Cattle.
18	Briand	Dropped off load Hops.
18	Briand	Moved 1 spaces.
17	ssnumber8	Finished Turn on 4/29/2026 9:33:28 PM PDT
17	ssnumber8	Moved 14 spaces.
17	ARStoo	Finished Turn on 4/29/2026 9:12:19 PM PDT
17	ARStoo	Disembarked.
17	ARStoo	Moved 7 spaces.
17	Chip	Built 14 segments for $20.
17	Chip	Finished Turn on 4/29/2026 5:55:29 PM PDT
17	Chip	Player paid bribe of $1.
17	Chip	Moved 4 spaces.
17	Chip	Picked up Spells in Ozu-Zarkh.
17	Chip	Dropped off load Fish.
17	Chip	Moved 5 spaces.
17	Chip	Picked up Jewelry in West Wyckk.
17	Chip	Dropped off load Pilgrims.
17	Chip	Picked up Lumber in West Wyckk.
17	Chip	Drew card 28.
17	Chip	Delivered Hops for $51 to West Wyckk.
17	Chip	Moved 7 spaces.
17	Briand	Finished Turn on 4/29/2026 4:50:58 PM PDT
17	Briand	Disembarked.
17	Briand	Moved 7 spaces.
16	ssnumber8	Finished Turn on 4/29/2026 12:00:26 AM PDT
16	ssnumber8	Disembarked.
16	ssnumber8	Moved 6 spaces.
16	ARStoo	Built 5 segments for $8.
16	ARStoo	Finished Turn on 4/28/2026 10:40:50 PM PDT
16	ARStoo	Boarded ship "Eastern Star".
16	ARStoo	Moved 5 spaces.
16	Chip	Finished Turn on 4/28/2026 9:53:39 PM PDT
16	Chip	Upgraded train to a Iron Dragon [16-3] for $10.
16	Chip	Moved 12 spaces.
16	Chip	Picked up Pilgrims in Janoshal.
16	Chip	Drew card 30.
16	Chip	Delivered Steel for $17 to Janoshal.
16	Chip	Moved 2 spaces.
16	Briand	Finished Turn on 4/28/2026 8:56:31 PM PDT
16	Briand	Moved 12 spaces.
16	Briand	Moved 12 spaces.
15	ssnumber8	Finished Turn on 4/28/2026 12:06:01 PM PDT
15	ssnumber8	Moved 3 spaces.
15	ssnumber8	Moved 6 spaces.
15	ARStoo	Finished Turn on 4/27/2026 9:50:51 PM PDT
15	ARStoo	Moved 15 spaces.
15	Chip	Built 5 segments for $6.
15	Chip	Finished Turn on 4/27/2026 9:42:39 PM PDT
15	Chip	Moved 14 spaces.
15	Briand	Finished Turn on 4/27/2026 9:40:30 PM PDT
15	Briand	Moved 12 spaces.
14	ssnumber8	Built 4 segments for $9.
14	ssnumber8	Finished Turn on 4/27/2026 9:24:21 PM PDT
14	ssnumber8	Moved 9 spaces.
14	ARStoo	Finished Turn on 4/27/2026 8:16:46 PM PDT
14	ARStoo	Moved 16 spaces.
14	ARStoo	Player paid bribe of $1.
14	Chip	Built 13 segments for $20.
14	Chip	Finished Turn on 4/27/2026 6:37:05 PM PDT
14	Chip	Moved 6 spaces.
14	Chip	Picked up Steel in Bremmner.
14	Chip	Dropped off load Cloth.
14	Chip	Moved 7 spaces, paying $4 for rent to ssnumber8
14	Chip	Picked up Hops in Bluefeld.
14	Chip	Moved 7 spaces, paying $4 for rent to ssnumber8
14	Chip	Dropped off load Fish.
14	Chip	Moved 1 spaces.
14	Briand	Finished Turn on 4/27/2026 4:32:36 PM PDT
14	Briand	Moved 12 spaces.
13	ssnumber8	Built 14 segments for $20.
13	ssnumber8	Finished Turn on 4/27/2026 2:07:50 PM PDT
13	ssnumber8	Boarded ship "Seahawk".
13	ssnumber8	Moved 9 spaces.
13	ssnumber8	Picked up Potions in Oraianda.
13	ssnumber8	Drew card 109.
13	ssnumber8	Delivered Jewelry for $30 to Oraianda.
13	ssnumber8	Moved 3 spaces.
13	ARStoo	Event Barbarians Attack! [146] has ended.
13	ARStoo	Built 5 segments for $6.
13	ARStoo	Finished Turn on 4/27/2026 8:24:07 AM PDT
13	ARStoo	Moved 16 spaces.
13	ARStoo	Player paid bribe of $1.
13	Chip	Finished Turn on 4/26/2026 11:02:51 PM PDT
13	Chip	Upgraded train to a Black Dragon [14-3] for $20.
13	Chip	Moved 10 spaces.
13	Briand	Finished Turn on 4/26/2026 10:56:10 PM PDT
13	Briand	Moved 12 spaces.
12	ssnumber8	Finished Turn on 4/26/2026 10:37:05 PM PDT
12	ssnumber8	Moved 14 spaces.
12	ARStoo	Finished Turn on 4/26/2026 10:15:30 PM PDT
12	ARStoo	Pitched and drew cards 24, 106, 68.
12	ARStoo	Event Barbarians Attack! [146] was drawn.
12	Chip	Finished Turn on 4/26/2026 10:08:56 PM PDT
12	Chip	Pitched and drew cards 54, 90, 66.
12	Briand	Built 3 segments for $6.
12	Briand	Finished Turn on 4/26/2026 7:37:34 PM PDT
12	Briand	Boarded ship "Royal Sovereign".
12	Briand	Moved 5 spaces.
11	ssnumber8	Finished Turn on 4/26/2026 6:54:54 PM PDT
11	ssnumber8	Moved 12 spaces.
11	ssnumber8	Picked up Spells in Ozu-Zarkh.
11	ssnumber8	Dropped off load Cattle.
11	ssnumber8	Moved 2 spaces.
11	ARStoo	Finished Turn on 4/26/2026 12:55:31 PM PDT
11	ARStoo	Moved 1 spaces.
11	ARStoo	Moved 8 spaces.
11	ARStoo	Picked up Ale in Uderyn.
11	ARStoo	Drew card 111.
11	ARStoo	Delivered Fruit for $22 to Uderyn.
11	ARStoo	Moved 7 spaces.
11	ARStoo	Player paid bribe of $1.
11	Chip	Built 8 segments for $20.
11	Chip	Finished Turn on 4/26/2026 11:49:41 AM PDT
11	Chip	Moved 2 spaces.
11	Chip	Picked up Fish in Piggnytz.
11	Chip	Dropped off load Cattle.
11	Chip	Picked up Fish in Piggnytz.
11	Chip	Drew card 59.
11	Chip	Delivered Jewelry for $54 to Piggnytz.
11	Chip	Moved 8 spaces.
11	Briand	Built 15 segments for $20.
11	Briand	Finished Turn on 4/26/2026 11:39:16 AM PDT
11	Briand	Moved 7 spaces.
11	Briand	Picked up Cattle in Penjold.
11	Briand	Drew card 118.
11	Briand	Delivered Gold for $37 to Penjold.
11	Briand	Picked up Cattle in Penjold.
11	Briand	Moved 9 spaces.
10	ssnumber8	Finished Turn on 4/26/2026 10:07:57 AM PDT
10	ssnumber8	Moved 4 spaces.
10	ssnumber8	Picked up Jewelry in West Wyckk.
10	ssnumber8	Dropped off load Potions.
10	ssnumber8	Moved 10 spaces.
10	ARStoo	Built 7 segments for $11.
10	ARStoo	Finished Turn on 4/26/2026 9:06:20 AM PDT
10	ARStoo	Player paid bribe of $1.
10	ARStoo	Moved 15 spaces.
10	ARStoo	Player paid bribe of $1.
10	Chip	Built 12 segments for $19.
10	Chip	Finished Turn on 4/25/2026 10:48:31 PM PDT
10	Chip	Player selected Steffan as foreman.
10	Chip	Player selected Carras as foreman.
10	Chip	Player selected Cynnrr as foreman.
10	Chip	Moved 9 spaces.
10	Chip	Picked up Cattle in Bulatz.
10	Chip	Drew card 4.
10	Chip	Delivered Wands for $36 to Bulatz.
10	Chip	Moved 1 spaces.
10	Briand	Finished Turn on 4/25/2026 5:54:58 PM PDT
10	Briand	Moved 16 spaces.
9	ssnumber8	Finished Turn on 4/25/2026 4:25:01 PM PDT
